序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
97,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025罐液位(磁翻板) 氯苯,q0083p0106,0,5600,0,600,4500,4800,工艺点位,,542,650,,,mm,
98,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024罐液位(磁翻板) 二次低沸物,q0083p0107,0,5600,0,600,4500,4800,工艺点位,,977,280,,,mm,
99,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023罐液位(磁翻板) 含苯低沸物,q0083p0108,0,5600,0,600,4500,4800,工艺点位,,826,280,,,mm,
100,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022罐液位(磁翻板) 三甲基氯硅烷,q0083p0109,0,5600,0,600,4500,4800,工艺点位,,680,180,,,mm,
101,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021罐液位(磁翻板) 三甲基氯硅烷,q0083p0110,0,5600,0,600,4500,4800,工艺点位,,540,280,,,mm,
102,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1011A低沸联苯罐压力,q0083p0111,0,1,0,0.1,0.8,0.9,工艺点位,,512,380,,,Mpa,
103,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024压力 二次低沸物,q0083p0112,0,1,0,0.1,0.8,0.9,工艺点位,,977,330,,,Mpa,
104,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023压力 含苯低沸物,q0083p0113,0,1,0,0.1,0.8,0.9,工艺点位,,826,330,,,Mpa,
105,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022压力 三甲基氯硅烷,q0083p0114,0,1,0,0.1,0.8,0.9,工艺点位,,680,230,,,Mpa,
106,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021压力 三甲基氯硅烷,q0083p0115,0,1,0,0.1,0.8,0.9,工艺点位,,540,230,,,Mpa,
107,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,罐区尾气去焚烧炉压力 ,q0083p0116,0,1,0,0.1,0.8,0.9,工艺点位,,680,720,,,Mpa,
108,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,罐区进氮气总管压力 ,q0083p0117,0,1.6,0,0.1,1.2,1.3,工艺点位,,900,500,,,Mpa,
109,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1027压力 三甲,q0083p0118,0,1,0,0.1,0.8,0.9,工艺点位,,842,700,,,Mpa,
110,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1011C待精馏高沸罐压力,q0083p0119,0,1,0,0.1,0.8,0.9,工艺点位,,545,520,,,Mpa,
111,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1011D待精馏高沸罐压力,q0083p0120,0,1,0,0.1,0.8,0.9,工艺点位,,765,520,,,Mpa,
112,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1012C待精馏高沸罐压力,q0083p0121,0,1,0,0.1,0.8,0.9,工艺点位,,972,520,,,Mpa,
113,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1026罐压力  硅氮,q0083p0122,0,1,0,0.1,0.8,0.9,工艺点位,,695,700,,,Mpa,
114,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025罐压力  氯苯,q0083p0123,0,1,0,0.1,0.8,0.9,工艺点位,,542,700,,,Mpa,
115,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,液碱储罐液位 ,q0083p0124,0,7000,0,500,6000,6500,工艺点位,,700,500,,,mm,
116,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机入口氧分,q0083p0125,0,2,0,0.2,1.5,1.8,工艺点位,,200,300,,,%,
117,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机入口氧分透光率,q0083p0126,0,100,0,10,80,90,工艺点位,,100,255,,,TEL,
118,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002a.氯苯储罐液位 ,q0083p0127,0,4200,0,200,3600,3800,工艺点位,,324,580,,,mm,
119,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002b氯苯储罐液位 ,q0083p0128,0,4200,0,200,3600,3800,工艺点位,,535,480,,,mm,
120,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1003a低沸物储罐液位 ,q0083p0129,0,4200,0,200,3600,3800,工艺点位,,752,580,,,mm,
121,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1012A待脱高料罐压力,q0083p0130,0,1,0,0.1,0.8,0.9,工艺点位,,947,430,,,Mpa,
122,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1012B二苯精制前罐压力,q0083p0131,0,1,0,0.1,0.8,0.9,工艺点位,,1160,530,,,Mpa,
123,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002c氯苯储罐液位 ,q0083p0132,0,4200,0,200,3600,3800,工艺点位,,362,500,,,mm,
124,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002d氯苯储罐液位 ,q0083p0133,0,4200,0,200,3600,3800,工艺点位,,574,500,,,mm,
125,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1003b低沸物储罐液位 ,q0083p0134,0,4200,0,200,3600,3800,工艺点位,,785,500,,,mm,
126,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1011B一苯脱色前罐压力,q0083p0135,0,1,0,0.1,0.8,0.9,工艺点位,,726,530,,,Mpa,
127,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1013A罐压力  苯,q0083p0136,0,1,0,0.1,0.8,0.9,工艺点位,,1370,430,,,Mpa,
128,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1004a粗产品罐液位 ,q0083p0137,0,4200,0,200,3600,3800,工艺点位,,1175,580,,,mm,
129,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1004b粗产品罐液位 ,q0083p0138,0,4200,0,200,3600,3800,工艺点位,,1382,580,,,mm,
130,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1005a事故罐液位 ,q0083p0139,0,4200,0,200,3600,3800,工艺点位,,960,580,,,mm,
131,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1006a中间馏分储罐液位 ,q0083p0140,0,4200,0,200,3600,3800,工艺点位,,300,480,,,mm,
132,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1011aTri储罐液位 ,q0083p0141,0,4200,0,200,3600,3800,工艺点位,,512,430,,,mm,
133,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1011bTri储罐液位 ,q0083p0142,0,4200,0,200,3600,3800,工艺点位,,726,480,,,mm,
134,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1004c粗产品罐液位 ,q0083p0143,0,4200,0,200,3600,3800,工艺点位,,1208,500,,,mm,
135,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1004d粗产品罐液位  含苯低沸物,q0083p0144,0,4200,0,200,3600,3800,工艺点位,,1415,500,,,mm,
136,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1005b事故罐液位 ,q0083p0145,0,4200,0,200,3600,3800,工艺点位,,1000,550,,,mm,
137,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1006b中间馏分储罐液位 ,q0083p0146,0,4200,0,200,3600,3800,工艺点位,,338,620,,,mm,
138,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1011cTri储罐液位 ,q0083p0147,0,4200,0,200,3600,3800,工艺点位,,545,620,,,mm,
139,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1011dTri储罐液位 ,q0083p0148,0,4200,0,200,3600,3800,工艺点位,,765,570,,,mm,
140,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1012a∮DI储罐液位 ,q0083p0149,0,4200,0,200,3600,3800,工艺点位,,947,480,,,mm,
141,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1012b∮DI储罐液位 ,q0083p0150,0,4200,0,200,3600,3800,工艺点位,,1160,380,,,mm,
142,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,1013a苯储罐液位 ,q0083p0151,0,4200,0,200,3600,3800,工艺点位,,1370,480,,,mm,
143,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1012c∮DI储罐液位 ,q0083p0152,0,4200,0,200,3600,3800,工艺点位,,972,570,,,mm,
144,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1012d∮DI储罐液位 ,q0083p0153,0,4200,0,200,3600,3800,工艺点位,,1180,570,,,mm,
145,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,1013b苯储罐液位 ,q0083p0154,0,4200,0,200,3600,3800,工艺点位,,1390,570,,,mm,
146,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1028罐压力  硅醚,q0083p0155,0,1,0,0.1,0.8,0.9,工艺点位,,988,550,,,Mpa,
147,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1012D待精馏高沸罐压力,q0083p0156,0,1.6,0,0.1,1.2,1.3,工艺点位,,1180,520,,,Mpa,
148,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1013B待精馏高沸罐压力,q0083p0157,0,1.6,0,0.1,1.2,1.3,工艺点位,,1390,520,,,Mpa,
149,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,20立废粉罐重量,q0083p0158,0,15000,0,1000,10000,11000,工艺点位,,705,85,,,kg,
150,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机排气温度,q0083p0159,0,200,0,20,160,180,工艺点位,,30,50,,,℃,
151,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,804导热油进口流量,q0083p0160,0,40,0,5,30,35,工艺点位,,1026,120,,,Kpa,
152,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,锅炉蒸汽压力,q0083p0161,0,1.6,0,0.1,1.2,1.3,工艺点位,,1240,180,,,Mpa,
153,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,热油到车间总管压力,q0083p0162,0,1.5,0,0.1,1.2,1.3,工艺点位,,785,530,,,Mpa,
154,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,804导热油进口压力,q0083p0163,0,1.5,0,0.1,1.2,1.3,工艺点位,,730,220,,,Mpa,
155,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,831液位,q0083p0164,0,100,0,10,80,90,工艺点位,,960,400,,,%,
156,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,导热油842液位,q0083p0165,0,100,0,10,80,90,工艺点位,,750,420,,,%,
157,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,804导热油进口温度,q0083p0166,0,350,0,30,150,180,工艺点位,,1026,170,,,℃,
158,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,804导热油出口1温度,q0083p0167,0,350,0,30,150,180,工艺点位,,650,320,,,℃,
159,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,804导热油出口2温度,q0083p0168,0,350,0,30,150,180,工艺点位,,730,365,,,℃,
160,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,801烟气进口温度,q0083p0169,0,600,0,50,500,550,工艺点位,,560,630,,,℃,
161,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,801烟气出口温度,q0083p0170,0,400,0,50,300,350,工艺点位,,560,700,,,℃,
162,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,中和釜温度,q0083p0171,0,200,0,20,150,180,工艺点位,,1500,400,,,℃,
163,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,水洗塔温度,q0083p0172,0,300,0,50,250,280,工艺点位,,1040,500,,,℃,
164,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,烟气颗粒物含量,q0083p0173,0,200,0,20,150,180,工艺点位,,1440,150,,,mg/m3,
165,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,841压力,q0083p0174,0,1,0,0.1,0.8,0.9,工艺点位,,870,75,,,Mpa,
166,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,渣桨罐A压力,q0083p0175,0,1.6,0,0.1,1.2,1.3,工艺点位,,25,500,,,Mpa,
167,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,氮气压力,q0083p0176,0,1.6,0,0.1,1.2,1.3,工艺点位,,20,350,,,Mpa,
168,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,回转窑头压力,q0083p0177,-400,400,-400,-200,200,300,工艺点位,,330,600,,,pa,
169,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,803B液位,q0083p0178,0,100,0,20,80,90,工艺点位,,940,260,,,%,
170,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,柴油罐液位,q0083p0179,0,100,0,20,80,90,工艺点位,,340,220,,,%,
171,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废渣罐液位A,q0083p0180,0,1400,0,400,1000,1200,工艺点位,,110,580,,,mm,
172,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废渣罐液位B,q0083p0181,0,1400,0,400,1000,1200,工艺点位,,250,580,,,mm,
173,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,盐酸循环A液位,q0083p0182,0,100,0,20,80,90,工艺点位,,1200,780,,,%,
174,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,盐酸储槽液位,q0083p0183,0,100,0,20,80,90,工艺点位,,1100,780,,,%,
175,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,盐酸循环B液位,q0083p0184,0,100,0,20,80,90,工艺点位,,1300,780,,,%,
176,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,碱罐循环A液位,q0083p0185,0,100,0,20,80,90,工艺点位,,1420,600,,,%,
177,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废液罐液位,q0083p0186,0,1800,0,300,1400,1500,工艺点位,,482,220,,,mm,
178,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,渣桨罐V802AB压力,q0083p0187,0,0.8,0,0.1,0.6,0.7,工艺点位,,95,470,,,Mpa,
179,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废气压力,q0083p0188,0,0.8,0,0.1,0.6,0.7,工艺点位,,200,55,,,Mpa,
180,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机油压,q0083p0189,0,2500,0,500,2000,2200,工艺点位,,150,110,,,Kpa,
181,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机水压,q0083p0190,0,1,0,0.1,0.8,0.9,工艺点位,,100,0,,,Mpa,
182,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机进气压力,q0083p0191,-100,200,-100,-50,100,150,工艺点位,,20,180,,,Kpa,
183,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机排气压力,q0083p0192,0,1000,0,100,800,900,工艺点位,,200,0,,,Kpa,
184,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,碱罐循环B液位,q0083p0193,0,100,0,20,80,90,工艺点位,,1526,600,,,%,
185,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,803A液位,q0083p0194,0,100,0,20,80,90,工艺点位,,840,260,,,%,
186,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,渣桨罐B压力,q0083p0195,0,1.6,0,0.1,1.2,1.3,工艺点位,,205,500,,,MPa,
187,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,烟气HCL浓度,q0083p0196,0,100,0,20,80,90,工艺点位,,1530,190,,,mg/m3,
188,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废液罐压力,q0083p0197,0,1,0,0.1,0.8,0.9,工艺点位,,472,150,,,MPa,
189,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,841高位油槽液位,q0083p0198,0,100,0,20,80,90,工艺点位,,984,50,,,%,
190,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,回油管线压力,q0083p0199,0,1,0,0.1,0.8,0.9,工艺点位,,850,200,,,Mpa,
191,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,烟气中CO含量,q0083p0200,0,750,0,0,75,80,工艺点位,,1528,48,,,mg/m3,
192,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,烟气中O2含量,q0083p0201,0,25,0,0,23,24,工艺点位,,1528,144,,,%,
